Pregunta;Respuesta_Esperada;RAG_Final_Resp;Evaluacion_Juez
Considerando las declaraciones de Katrin Deschauer, ¿reconoció Alemania oficialmente los resultados finales de las elecciones salvadoreñas el mismo lunes?;No, Alemania fue cauta porque el conteo oficial del Tribunal Supremo Electoral aún no había terminado.;"No, según la noticia, Katrin Deschauer, portavoz del Ministerio de Exteriores alemán, dijo que ""Hemos tomado nota de lo que está ocurriendo en El Salvador. Los electores parecen haberse decidido por el presidente Bukele aunque el conteo no ha terminado todavía"", lo que indica que Alemania no reconoció oficialmente los resultados finales de las elecciones salvadoreñas el mismo lunes.";CORRECTO
¿Para combatir qué dos enfermedades se aprobó en Reino Unido y Estados Unidos la primera terapia génica basada en el método CRISPR/Cas9?;La anemia de células falciformes y la beta talasemia.;La primera terapia génica basada en el método CRISPR/Cas9 se aprobó para combatir la anemia de células falciformes y la beta talasemia.;CORRECTO
¿De qué parte específica del cuerpo humano se extraen habitualmente las células madre mediante una punción en la cresta ilíaca?;De la médula ósea (en la cadera).;La médula ósea.;CORRECTO
¿Qué dos científicos recibieron el Premio Nobel por sus descubrimientos en torno a la reprogramación celular?;Yamanaka y Guston.;No tengo información suficiente en mis archivos.;INCORRECTO
Según las recomendaciones dermatológicas citadas en la noticia, ¿qué factor de protección solar mínimo (SPF) deben utilizar las personas de piel clara?;Factor 50 SPF.;No tengo información suficiente en mis archivos.;INCORRECTO
Si a un paciente le clasifican un carcinoma utilizando el sistema TNM y se centran en evaluar la letra 'M', ¿qué están buscando médicamente?;La existencia o no de metástasis.;No tengo información suficiente en mis archivos.;INCORRECTO
Según el descubrimiento de dos tipos de células madre responsables de formar las raíces dentales, ¿qué tipo de piezas bucales podrían hacer crecer los nuevos tratamientos?;Dientes naturales.;Dientes naturales.;CORRECTO
¿Cuántos metros de diámetro tendrá el túnel submarino proyectado para conectar Génova Oeste con Génova Este?;16 metros de diámetro.;El túnel submarino tendrá 16 metros de diámetro.;CORRECTO
¿En qué año está previsto que finalice la construcción del gran túnel submarino de Génova financiado por Autostrade per l'Italia?;En el año 2029.;Según el texto, la construcción del gran túnel submarino de Génova está prevista que finalice en el año 2029.;CORRECTO
¿Qué ciudad marroquí y qué ciudad española conectaría el tren que circulará por el futuro túnel submarino del Estrecho de Gibraltar?;Casablanca y Madrid.;El tren conectaría la ciudad marroquí de Casablanca con la ciudad española de Madrid.;CORRECTO
¿Cómo se llama la fragata que Alemania envió a Copenhague para proteger la doble cumbre de la UE frente a la amenaza de drones?;La fragata Hamburg.;La fragata que Alemania envió a Copenhague se llama Hamburg.;CORRECTO
Al ser avistados submarinos rusos en el Mar Báltico, ¿por qué los barcos de la defensa danesa justifican seguirlos como una práctica 'normal'?;Se hace con fines disuasorios y de vigilancia porque las embarcaciones rusas no pertenecen a la OTAN.;Según el jefe de servicio del centro de operaciones de Defensa danesa, Lars Wulff, las embarcaciones rusas son libres de navegar en las aguas del Mar Báltico, pero es común que sean seguidas por barcos de la defensa danesa durante su travesía con fines disuasorios y de vigilancia, dado que no pertenecen a la OTAN.;CORRECTO
¿Qué carguero ruso dañó presuntamente dos cables submarinos de telecomunicaciones en el Báltico en noviembre de 2024?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
En la cumbre COP29, ¿qué cantidad de dinero se aprobó movilizar para el año 2035 destinada a países en desarrollo?;300.000 millones de dólares.;No tengo información suficiente en mis archivos.;INCORRECTO
Según las estimaciones de los expertos mencionadas en la cumbre de Brasil, ¿a qué cifra ascienden las verdaderas necesidades financieras climáticas anuales exigidas para 2035?;A 1,3 billones de dólares.;Según la noticia 2, se menciona que el objetivo es movilizar 300.000 millones de dólares al año en 2035, y se busca incrementar esta cifra hasta los 1,3 billones de dólares.;CORRECTO
¿Cómo se llama el mecanismo de la Unión Europea que impondrá un cargo a las importaciones de bienes con altas emisiones de carbono a partir del 1 de enero de 2016?;Mecanismo de Ajuste en Frontera por Carbono.;No tengo información suficiente en mis archivos.;INCORRECTO
Teniendo en cuenta la postura de China en la cumbre, ¿se mostró este país abierto a debatir el acortamiento de los plazos para presentar sus planes de acción climática (NDC)?;No, China se ha mostrado firme en que no debería haber debate sobre estos planes.;No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué ciudad de la Amazonia brasileña se celebró la conferencia de la ONU sobre el clima conocida como COP30?;En la ciudad de Belém.;La COP 30 se celebrará en Belém do Pará, en el corazón de la Amazonía.;CORRECTO
¿Qué nuevos compromisos de financiación aportó la delegación de Estados Unidos durante su intervención en la cumbre de Belém?;Ninguno, ya que Estados Unidos, a pesar de ser el mayor emisor histórico, estuvo ausente en la cumbre de Belém.;No tengo información suficiente en mis archivos.;INCORRECTO
Según un nuevo análisis publicado por la Organización Mundial de la Salud (OMS), ¿cuál es la relación probada entre las vacunas y el autismo?;Se confirma que no existe ninguna relación entre las vacunas y el autismo.;Según la OMS, no existe relación entre las vacunas y el autismo.;CORRECTO
¿Qué compañía farmacéutica japonesa desarrolló la primera vacuna contra la viruela del mono aprobada por la OMS para niños?;KM Biologics.;La farmacéutica japonesa KM Biologics desarrolló la vacuna contra la viruela del mono aprobada por la OMS para niños.;CORRECTO
¿A partir de qué edad puede utilizarse la vacuna contra la viruela del mono fabricada por KM Biologics?;A partir del primer año de edad.;A partir del primer año de edad.;CORRECTO
¿Cómo se llama la alianza que facilita las inmunizaciones en países en desarrollo y que precisa la aprobación de la OMS para llevar la vacuna a la República Democrática del Congo?;GAVI.;GAVI.;CORRECTO
¿Cuántos pacientes espera tener implantados el Instituto Chino de Investigación Cerebral (CIBR) con el chip Beinao No. 1 para finales de año?;Trece personas.;El Instituto Chino de Investigación Cerebral (CIBR) junto a la empresa NeuCyber NeuroTech podrían implementar el chip cerebral Beinao No. 1 en trece personas para finales de este año.;CORRECTO
¿Cuál es la empresa tecnológica que ha desarrollado el chip visual Prima, de dos milímetros cuadrados, plantando cara a Neuralink?;Science Corporation.;La empresa tecnológica que ha desarrollado el chip visual Prima es Science Corporation.;CORRECTO
Según la historia estratégica detallada en el artículo, ¿en qué año fundó Elon Musk la compañía Neuralink?;En 2026.;Según el texto, Elon Musk fundó Neuralink en 2026.;CORRECTO
¿Cuál es el peso exacto del implante biotecnológico desarrollado por Neuralink?;Cuatro gramos.;El implante biotecnológico desarrollado por Neuralink tiene un peso de cuatro gramos.;CORRECTO
¿Cuáles son las previsiones de facturación y número de pacientes implantados por curso que Neuralink espera alcanzar en el año 2031?;1.000 millones de facturación y 20.000 pacientes.;Según el texto, Neuralink espera alcanzar 1.000 millones de facturación y realizar implantes en 20.000 pacientes por curso en el año 2031.;CORRECTO
¿Cómo se llama el primer paciente humano que recibió el implante cerebral de Neuralink y que quedó tetrapléjico en 2016?;Noland Arbaugh.;Noland Arbaugh.;CORRECTO
¿Qué significan las siglas del ensayo PRIME en el que participa el primer paciente de Neuralink?;Precise Robotically Implanted Brain-Computer Interface.;No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué hospital exacto de la ciudad de Nueva York se le implantó el chip al paciente Noland Arbaugh?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
Según el artículo sobre el desafío de Colombia frente a España, ¿a finales de qué siglo se hundió el navío San José?;A finales del siglo XVII.;Según el artículo, el galeón San José se hundió a finales del siglo XVII.;CORRECTO
Según la historia del buque, ¿qué día exacto fue hundido el galeón San José por una flota de corsarios ingleses?;El 8 de junio de 1708.;El galeón San José fue hundido el 8 de junio de 1708.;CORRECTO
¿Cuántas monedas de oro y plata recogidas en Portobelo (Panamá) llevaba aproximadamente el galeón en su interior?;Cerca de 11 millones de monedas de ocho escudos en oro y plata.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué palabra concreta figura inscrita en el cañón de artillería extraído del galeón San José?;"La palabra ""Sevilla"".";"La palabra ""Sevilla"" figura inscrita en el cañón de artillería extraído del galeón San José.";CORRECTO
¿Qué dos personas elaboraron una escultura de chocolate del galeón San José sostenido por un pulpo gigante?;El chef pastelero Juan Arellano y Andrea Torres.;El chef pastelero Juan Arellano y Andrea Torres elaboraron la escultura de chocolate del galeón San José sostenido por un pulpo gigante.;CORRECTO
¿Cuál era el nombre del capitán corsario inglés que dio la orden de hundir personalmente el barco en 1708?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Por qué motivo acudirá una delegación del pueblo Qhara Qhara como testigo a las operaciones submarinas en el galeón San José?;Para asegurarse de que el gobierno colombiano no se apropie bienes de los pueblos originarios.;No tengo información suficiente en mis archivos.;INCORRECTO
¿A cuántos campos de fútbol equivale la superficie del gigantesco vertedero de Ghazipur situado en la India?;A 35 campos de fútbol.;No tengo información suficiente en mis archivos;INCORRECTO
¿Cuál fue la concentración media exacta de microplásticos (MP) por litro detectada en el agua embotellada de las cinco marcas españolas analizadas?;0,7 MP por litro.;La concentración media exacta de microplásticos (MP) por litro detectada en el agua embotellada fue de 0,7 MP por litro.;CORRECTO
¿En qué revista científica se publicaron los resultados de la segunda parte del estudio centrada en el agua embotellada?;En la revista Scientific Reports.;En la revista Scientific Reports.;CORRECTO
Según las imágenes químicas del estudio peneano, ¿cuáles fueron los dos tipos de microplásticos más prevalentes encontrados en las muestras?;El tereftalato de polietileno (PET) y el polipropileno (PP).;Según el estudio, los dos tipos de microplásticos más prevalentes encontrados en las muestras de tejido del pene fueron el tereftalato de polietileno (PET) y el polipropileno (PP).;CORRECTO
Según el estudio publicado en mayo por el toxicólogo Matthew J. Campen, ¿cuántos testículos de perro se analizaron para compararlos con los 23 de humanos?;47 testículos de perro.;Según el texto, se analizaron 47 testículos de perro para compararlos con los 23 de humanos.;CORRECTO
¿Qué marca específica de agua embotellada fue la que dio un resultado más alto en toxinas en la investigación del toxicólogo Campen?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿En qué año exacto ha aprobado California la ley que prohibirá enviar chatarra electrónica de segunda mano a países de África?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
Basándonos en las cifras del estudio de Environplanet, ¿qué tipo de agua tiene una menor cantidad de partículas no plásticas de origen artificial (PANP) por litro: la de grifo o la embotellada?;El agua de grifo (presenta 0,0322 PANP/litro frente a los 1,70 del agua embotellada).;Según el estudio de Environplanet, el agua de grifo presenta una concentración media de 0,0322 PANP/litro, mientras que el agua embotellada tiene una concentración media de 1,70 PANP/litro. Por lo tanto, el agua de grifo tiene una menor cantidad de partículas no plásticas de origen artificial (PANP) por litro.;CORRECTO
¿Cómo se llama la versión de inteligencia artificial de Meta que sí llegará a la Unión Europea porque solo es compatible con texto?;Llama 3.;Llama 3.;CORRECTO
¿En cuántos idiomas estará disponible el asistente Meta AI en su versión europea enfocada únicamente en la generación de texto?;En seis idiomas.;El asistente Meta AI estará disponible en 6 idiomas en su versión europea.;CORRECTO
¿Cuánto dinero planea invertir la empresa Meta este año para hacer de la inteligencia artificial una prioridad estratégica?;Entre 60.000 y 65.000 millones de dólares.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué cuantía económica tiene la multa que la Comisión Europea impuso a Meta en mayo por el uso de algoritmos adictivos?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
Atendiendo a las características de la versión europea de Meta AI, ¿utilizó la empresa los datos de los internautas europeos para entrenar a su asistente virtual?;No, Meta AI no se entrenó con datos de usuarios europeos.;Sí, Meta utilizará los datos de los usuarios europeos para entrenar a su asistente virtual, Meta AI. La empresa incluirá en estos datos el contenido público de los usuarios, como publicaciones, comentarios e historiales de conversación con Meta AI.;INCORRECTO
En el lugar de aterrizaje del módulo Chandrayaan-3, ¿qué temperatura máxima se alcanzó en una pendiente orientada hacia el Sol con un ángulo de 6 grados?;Alcanzó un máximo de 82 grados.;La temperatura máxima alcanzada en el lugar de aterrizaje del módulo Chandrayaan-3, en una pendiente orientada hacia el Sol con un ángulo de 6°, fue de 82 grados.;CORRECTO
¿Con qué instrumento tecnológico realizó el vehículo Pragyan sus 23 mediciones a lo largo de 103 metros en la superficie lunar?;Utilizando su espectrómetro de rayos X de partículas alfa.;No tengo información suficiente en mis archivos.;INCORRECTO
¿A qué distancia exacta de su ubicación deseada confirmó la NASA que había aterrizado de manera accidentada la sonda Athena?;A 400 metros de distancia.;La NASA confirmó que la sonda Athena aterrizó a 400 metros de distancia de la ubicación deseada.;CORRECTO
¿En qué fecha exacta logró Japón el alunizaje exitoso de su nave Smart Lander con su módulo inteligente SLIM?;El 20 de enero de 2024.;El 20 de enero.;CORRECTO
¿Cuál era el nombre del astronauta que controló de manera remota el aterrizaje de la sonda Athena desde el centro de control en Houston?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué cantidad de kilos de roca lunar trajo a la Tierra la misión espacial china Chang'e 3 tras su alunizaje en el año 2013?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿En qué fecha exacta entra en funcionamiento el AVE que completa el recorrido entre Madrid, las capitales gallegas y Asturias?;A partir de este próximo martes, 21 de mayo.;El AVE que completa el recorrido entre Madrid y las capitales gallegas y se estrena en Asturias entrará en funcionamiento el próximo martes, 21 de mayo.;CORRECTO
¿Qué cantidad económica en indemnizaciones reclama Renfe a la empresa Talgo debido a los tres años y medio de retraso en la entrega de los trenes S-106?;166 millones de euros.;No tengo información suficiente en mis archivos.;INCORRECTO
Gracias a la puesta en marcha de los nuevos convoyes Avril, ¿cuántos minutos de viaje se ahorrarán los pasajeros que realicen el trayecto en alta velocidad entre Oviedo y Madrid?;Se reducirá el tiempo de viaje en 12 minutos.;No tengo información suficiente en mis archivos.;INCORRECTO
¿A qué velocidad máxima exacta circuló el tren con destino a Vigo mientras atravesaba los montes galaicos tras salir de Zamora?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Cuántos trenes totales se incluían en el contrato que Renfe adjudicó a Talgo por 1.281 millones de euros en el año 2016?;30 trenes S106.;No tengo información suficiente en mis archivos.;INCORRECTO
Según las declaraciones del ministro Mario Marcel, ¿cuántas empresas en total presentaron propuestas al Gobierno de Chile para explotar los 26 salares disponibles?;54 empresas.;Según las declaraciones del ministro Mario Marcel, 54 empresas presentaron un total de 88 propuestas para explotar los 26 salares disponibles en Chile.;CORRECTO
¿En qué mes y año comenzará a operar comercialmente la nueva sociedad creada por Codelco y SQM para explotar el litio en el salar de Atacama?;En enero de 2025.;No tengo información suficiente en mis archivos.;INCORRECTO
Para garantizar el control del Estado en la nueva asociación público-privada entre Codelco y SQM, ¿qué participación accionarial mantendrá la empresa estatal?;Tendrá la mayoría de las acciones (el 50% más una).;La empresa estatal Codelco mantendrá una participación superior a 50 por ciento en la asociación.;CORRECTO
Durante el partido de clasificación disputado en Tiflis frente a Georgia, ¿qué jugador de la selección española anotó el primer gol de penalti en el minuto 11?;Mikel Oyarzabal.;Mikel Oyarzabal anotó el primer gol de penalti en el minuto 10, no en el 11.;CORRECTO
¿Cuál fue el porcentaje exacto de posesión de balón que tuvo la selección española en la segunda parte del partido contra Georgia?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿A qué precio exacto vendió la compañía SQM la tonelada de litio a China durante el último trimestre comercial de 2024?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿En qué ciudad española tiene su sede la Agencia Española de Supervisión de la Inteligencia Artificial (Aesia)?;En La Coruña.;La Agencia Española de Supervisión de la Inteligencia Artificial (Aesia) tiene su sede en A Coruña.;CORRECTO
¿Cuántas entradas tiene la clasificación europea de competencias conocida como ESCO?;Más de 13.000 entradas.;No tengo información suficiente en mis archivos;INCORRECTO
Según la información aportada por la Xunta, ¿cuántos puestos de trabajo calificados como de 'urgente cobertura' hay en Galicia que no se logran cubrir?;Unos 15.000 puestos.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué gran empresa tecnológica estadounidense ha desarrollado la herramienta de inteligencia artificial EMi para la Xunta de Galicia?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué empresa utiliza en California vehículos sin conductor para entregar suministros médicos?;La empresa Nuro.;No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué ciudad de Colombia se celebra el VIII Congreso de Editores de Europa y América Latina?;En Cartagena de Indias.;El VIII Congreso de Editores de Europa y América Latina se celebra en Cartagena de Indias, Colombia.;CORRECTO
¿Qué tratamiento médico específico procedente de cadáveres generó casos de transmisión de alzhéimer entre personas?;Un tratamiento con hormona del crecimiento.;Un tratamiento con hormona del crecimiento procedente de cadáveres generó casos de transmisión de alzhéimer entre personas.;CORRECTO
¿Cómo se llama el fármaco oral en fase de estudio que busca prevenir el Alzheimer bloqueando los oligómeros amiloides?;ALZ-801.;El fármaco oral en fase de estudio se llama ALZ-801.;CORRECTO
¿Qué herramienta de inteligencia artificial utiliza Google para acelerar el estudio de proteínas relacionadas con el Alzheimer?;AlphaFold.;AlphaFold;CORRECTO
¿Quién es el autor colombiano del libro de poesía 'Grietas de la luz' (2024) que honra la memoria de sus abuelas?;Federico Díaz Granados.;El autor colombiano del libro de poesía 'Grietas de la luz' (2024) es Federico Díaz Granados.;CORRECTO
¿En qué año exacto descubrió Google la cura definitiva para el Alzheimer con su IA AlphaFold?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Cuál fue la cifra exacta de recaudación de la tasa turística en la comarca del Maresme durante el año 2024?;4.662.602 euros.;La recaudación de la tasa turística en la comarca del Maresme durante el año 2024 fue de 4.662.602 euros.;CORRECTO
Según el informe del Maresme, ¿cuál es el porcentaje de hombres que integran el perfil del turista en la comarca?;El 64,1%.;64,1% de hombres integran el perfil del turista en la comarca del Maresme.;CORRECTO
Según las previsiones del Ministerio de Industria y Turismo en 2023, ¿cuántos millones de euros de gasto generaron los turistas internacionales en España?;Más de 108.000 millones de euros.;Según las previsiones del Ministerio de Industria y Turismo en 2023, los turistas internacionales generaron más de 108.000 millones de euros de gasto en España.;CORRECTO
De acuerdo con los datos de Mesa del Turismo, ¿cuántos turistas mexicanos aproximadamente visitaron España el año pasado?;Más de un millón de mexicanos.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué porcentaje exacto de impuestos aplicará Donald Trump a los turistas españoles que viajen a Nueva York?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Qué porcentaje cayeron las ventas de la marca Tesla en España durante el mes de octubre?;Un 31%.;Según la Noticia 1, las ventas de Tesla en España cayeron un 31% en octubre.;CORRECTO
¿Cuáles son los nombres de los dos gigantes chinos que concentran más del 50% del suministro global de baterías para coches eléctricos?;CATL y BYD.;CATL y BYD.;CORRECTO
¿Cómo se denomina comercialmente la batería de producción propia que fabrica la empresa automovilística BYD a través de su filial FinDreams Battery?;Blade Battery.;"La batería de producción propia de BYD se denomina comercialmente ""Blade Battery"".";CORRECTO
Según un nuevo estudio, ¿a qué porcentaje anual ha bajado la tasa de degradación de las baterías de coches eléctricos en los últimos cinco años?;Ha bajado al 1,8% anual.;Según un nuevo estudio, la tasa de degradación de las baterías de coches eléctricos ha bajado del 2,3% al 1,8% anual, lo que supone una disminución del 22% en los últimos cinco años.;CORRECTO
¿Cuántas gigafactorías de baterías tiene actualmente operativas la marca BYD en territorio español?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
¿Cuántas hectáreas de olivar dedica la Cooperativa Olivarera de Los Pedroches (Olipe) al cultivo biodinámico?;300 hectáreas.;La Cooperativa Olivarera de Los Pedroches (Olipe) dedica 300 hectáreas de olivar al cultivo biodinámico.;CORRECTO
De acuerdo con la reforma presupuestaria que se debate en las instituciones comunitarias, ¿qué porcentaje de reducción de fondos podrían sufrir las ayudas de la Política Agraria Común (PAC)?;Una reducción del 20%.;Un 22% (80.000 euros menys).;INCORRECTO
¿Cuántos puntos recogía el pacto que firmaron los agricultores de la plataforma Gremi de la Pagesia con el departament d’Agricultura de Cataluña?;19 puntos.;El pacto recogía 19 puntos.;CORRECTO
¿Cuántos años llevaba en su cargo el coordinador de Unió de Pagesos, Joan Caball, antes de certificarse su relevo?;25 años.;25 años.;CORRECTO
¿Quién es el autor del libro 'El juego del dinero' citado en el artículo sobre la riqueza y la clase media?;Gary Stevenson.;No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué plaga específica de insectos devoradores de cultivos acordaron combatir en el pacto de 19 puntos firmado en Cataluña?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
Según el informe de ISACA en 2024, ¿qué porcentaje de profesionales de ciberseguridad afirma que no cuentan con el presupuesto necesario?;El 52%.;Según el informe de ISACA en 2024, el 52% de los profesionales de ciberseguridad afirma que no cuentan con el presupuesto necesario.;CORRECTO
¿Qué cantidad económica va a inyectar Google.org a la Universidad de Málaga para su programa de seminarios de ciberseguridad?;Un millón de dólares.;Un millón de dólares.;CORRECTO
¿En qué año fundó el empresario israelí Nir Zuk la firma de ciberseguridad Palo Alto Networks?;En el año 2005.;El empresario israelí Nir Zuk fundó la firma de ciberseguridad Palo Alto Networks en el año 2005.;CORRECTO
Según el informe del Observatorio de Digitalización de GoDaddy 2023, ¿qué porcentaje de pymes españolas han sido víctimas de algún ciberataque?;El 60% de las empresas españolas.;"Según el texto, el 60% de las empresas españolas han sido víctimas de algún ataque, aunque no se especifica que el porcentaje sea exclusivo de pymes. Sin embargo, se menciona que el informe del Observatorio de Digitalización de GoDaddy 2023 se refiere a las pymes españolas, por lo que se puede inferir que el porcentaje se refiere a ellas.

La respuesta es: 60%";CORRECTO
¿Para qué sirve específicamente la solución tecnológica HP Sure Recover mencionada en el informe de protección para pymes?;Para ayudar a restaurar rápidamente la funcionalidad del sitio web en caso de ataques o caídas.;La solución tecnológica HP Sure Recover sirve para restaurar rápidamente la funcionalidad del sitio web en caso de ataques o caídas.;CORRECTO
¿Qué grupo de hackers ruso reivindicó el último ataque a la infraestructura de Red Eléctrica?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
Según el estudio de la Asociación Estadounidense del Corazón, ¿cuántas horas de sueño por noche necesita la mayoría de los adultos?;Entre 7 y 9 horas.;No tengo información suficiente en mis archivos.;INCORRECTO
En el estudio de la Universidad Tecnológica de Sidney sobre la dieta mediterránea, ¿cuántos hombres participaron y de qué rango de edad?;Participaron 71 hombres de edades comprendidas entre 18 y 25 años.;No tengo información suficiente en mis archivos.;INCORRECTO
Según los investigadores, ¿a través de qué vía o nervio específico se comunican las bacterias del tracto intestinal con el cerebro?;A través del nervio vago.;"Según los investigadores, las bacterias del tracto intestinal se comunican con el cerebro a través del nervio vago. Este nervio actúa como una ""autopista bidireccional"" que transmite información en ambos sentidos entre el intestino y el cerebro.";CORRECTO
¿Cuántos participantes se incluyeron en el análisis de datos del estudio SOL-INCA-MRI enfocado en la materia blanca cerebral?;Más de 2.774 participantes.;No tengo información suficiente en mis archivos.;INCORRECTO
De todos los componentes de la dieta mediterránea, ¿qué dos alimentos específicos se asociaban de manera más estrecha con las características deseables de la materia blanca cerebral?;El pescado y los cereales integrales.;Según el estudio, los dos alimentos específicos que se asociaban de manera más estrecha con las características deseables de la materia blanca cerebral son el pescado y los cereales integrales.;CORRECTO
¿En qué revista científica se publicó la nueva declaración de la Asociación Estadounidense del Corazón sobre el sueño y el cardiometabolismo?;En la revista 'Circulation: Cardiovascular Quality and Outcomes'.;La nueva declaración de la Asociación Estadounidense del Corazón sobre el sueño y el cardiometabolismo se publicó en la revista 'Circulation: Cardiovascular Quality and Outcomes'.;CORRECTO
¿En qué hospital español se descubrió que la dieta mediterránea cura clínicamente la depresión profunda en dos semanas?;No tengo información suficiente en mis archivos.;No tengo información suficiente en mis archivos.;CORRECTO
