id,tipo,pregunta,respuesta_esperada
181,Factual,¿En qué ciudad española tiene su sede la Agencia Española de Supervisión de la Inteligencia Artificial (Aesia)?,En La Coruña.
182,Factual,¿Cuántas entradas tiene la clasificación europea de competencias conocida como ESCO?,Más de 13.000 entradas.
183,Inferencia,"Según la información aportada por la Xunta, ¿cuántos puestos de trabajo calificados como de 'urgente cobertura' hay en Galicia que no se logran cubrir?",Unos 15.000 puestos.
184,Trampa,¿Qué gran empresa tecnológica estadounidense ha desarrollado la herramienta de inteligencia artificial EMi para la Xunta de Galicia?,No tengo información suficiente en mis archivos.
185,Factual,¿Qué empresa utiliza en California vehículos sin conductor para entregar suministros médicos?,La empresa Nuro.
186,Factual,¿En qué ciudad de Colombia se celebra el VIII Congreso de Editores de Europa y América Latina?,En Cartagena de Indias.
187,Factual,¿Qué tratamiento médico específico procedente de cadáveres generó casos de transmisión de alzhéimer entre personas?,Un tratamiento con hormona del crecimiento.
188,Factual,¿Cómo se llama el fármaco oral en fase de estudio que busca prevenir el Alzheimer bloqueando los oligómeros amiloides?,ALZ-801.
189,Factual,¿Qué herramienta de inteligencia artificial utiliza Google para acelerar el estudio de proteínas relacionadas con el Alzheimer?,AlphaFold.
190,Factual,¿Quién es el autor colombiano del libro de poesía 'Grietas de la luz' (2024) que honra la memoria de sus abuelas?,Federico Díaz Granados.
191,Trampa,¿En qué año exacto descubrió Google la cura definitiva para el Alzheimer con su IA AlphaFold?,No tengo información suficiente en mis archivos.
192,Factual,¿Cuál fue la cifra exacta de recaudación de la tasa turística en la comarca del Maresme durante el año 2024?,4.662.602 euros.
193,Factual,"Según el informe del Maresme, ¿cuál es el porcentaje de hombres que integran el perfil del turista en la comarca?","El 64,1%."
194,Factual,"Según las previsiones del Ministerio de Industria y Turismo en 2023, ¿cuántos millones de euros de gasto generaron los turistas internacionales en España?",Más de 108.000 millones de euros.
195,Inferencia,"De acuerdo con los datos de Mesa del Turismo, ¿cuántos turistas mexicanos aproximadamente visitaron España el año pasado?",Más de un millón de mexicanos.
196,Trampa,¿Qué porcentaje exacto de impuestos aplicará Donald Trump a los turistas españoles que viajen a Nueva York?,No tengo información suficiente en mis archivos.
197,Factual,¿Qué porcentaje cayeron las ventas de la marca Tesla en España durante el mes de octubre?,Un 31%.
198,Factual,¿Cuáles son los nombres de los dos gigantes chinos que concentran más del 50% del suministro global de baterías para coches eléctricos?,CATL y BYD.
199,Inferencia,¿Cómo se denomina comercialmente la batería de producción propia que fabrica la empresa automovilística BYD a través de su filial FinDreams Battery?,Blade Battery.
200,Factual,"Según un nuevo estudio, ¿a qué porcentaje anual ha bajado la tasa de degradación de las baterías de coches eléctricos en los últimos cinco años?","Ha bajado al 1,8% anual."
201,Trampa,¿Cuántas gigafactorías de baterías tiene actualmente operativas la marca BYD en territorio español?,No tengo información suficiente en mis archivos.
202,Factual,¿Cuántas hectáreas de olivar dedica la Cooperativa Olivarera de Los Pedroches (Olipe) al cultivo biodinámico?,300 hectáreas.
203,Inferencia,"De acuerdo con la reforma presupuestaria que se debate en las instituciones comunitarias, ¿qué porcentaje de reducción de fondos podrían sufrir las ayudas de la Política Agraria Común (PAC)?",Una reducción del 20%.
204,Factual,¿Cuántos puntos recogía el pacto que firmaron los agricultores de la plataforma Gremi de la Pagesia con el departament d’Agricultura de Cataluña?,19 puntos.
205,Factual,"¿Cuántos años llevaba en su cargo el coordinador de Unió de Pagesos, Joan Caball, antes de certificarse su relevo?",25 años.
206,Factual,¿Quién es el autor del libro 'El juego del dinero' citado en el artículo sobre la riqueza y la clase media?,Gary Stevenson.
207,Trampa,¿Qué plaga específica de insectos devoradores de cultivos acordaron combatir en el pacto de 19 puntos firmado en Cataluña?,No tengo información suficiente en mis archivos.
208,Factual,"Según el informe de ISACA en 2024, ¿qué porcentaje de profesionales de ciberseguridad afirma que no cuentan con el presupuesto necesario?",El 52%.
209,Factual,¿Qué cantidad económica va a inyectar Google.org a la Universidad de Málaga para su programa de seminarios de ciberseguridad?,Un millón de dólares.
210,Factual,¿En qué año fundó el empresario israelí Nir Zuk la firma de ciberseguridad Palo Alto Networks?,En el año 2005.
211,Factual,"Según el informe del Observatorio de Digitalización de GoDaddy 2023, ¿qué porcentaje de pymes españolas han sido víctimas de algún ciberataque?",El 60% de las empresas españolas.
212,Inferencia,¿Para qué sirve específicamente la solución tecnológica HP Sure Recover mencionada en el informe de protección para pymes?,Para ayudar a restaurar rápidamente la funcionalidad del sitio web en caso de ataques o caídas.
213,Trampa,¿Qué grupo de hackers ruso reivindicó el último ataque a la infraestructura de Red Eléctrica?,No tengo información suficiente en mis archivos.
214,Factual,"Según el estudio de la Asociación Estadounidense del Corazón, ¿cuántas horas de sueño por noche necesita la mayoría de los adultos?",Entre 7 y 9 horas.
215,Factual,"En el estudio de la Universidad Tecnológica de Sidney sobre la dieta mediterránea, ¿cuántos hombres participaron y de qué rango de edad?",Participaron 71 hombres de edades comprendidas entre 18 y 25 años.
216,Inferencia,"Según los investigadores, ¿a través de qué vía o nervio específico se comunican las bacterias del tracto intestinal con el cerebro?",A través del nervio vago.
217,Factual,¿Cuántos participantes se incluyeron en el análisis de datos del estudio SOL-INCA-MRI enfocado en la materia blanca cerebral?,Más de 2.774 participantes.
218,Inferencia,"De todos los componentes de la dieta mediterránea, ¿qué dos alimentos específicos se asociaban de manera más estrecha con las características deseables de la materia blanca cerebral?",El pescado y los cereales integrales.
219,Factual,¿En qué revista científica se publicó la nueva declaración de la Asociación Estadounidense del Corazón sobre el sueño y el cardiometabolismo?,En la revista 'Circulation: Cardiovascular Quality and Outcomes'.
220,Trampa,¿En qué hospital español se descubrió que la dieta mediterránea cura clínicamente la depresión profunda en dos semanas?,No tengo información suficiente en mis archivos.
