Pregunta;Esperada;C3_BM25_Resp;C3_Eval;C4_VECT_Resp;C4_Eval
Basándonos en las cifras del estudio de Environplanet, ¿qué tipo de agua tiene una menor cantidad de partículas no plásticas de origen artificial (PANP) por litro: la de grifo o la embotellada?;El agua de grifo (presenta 0,0322 PANP/litro frente a los 1,70 del agua embotellada).; La bebida del grifo tiene una menor cantidad de partículas no plásticas de origen artificial (PANP) por litro.;INCORRECTO; La de grifo.;CORRECTO
¿Cómo se llama la versión de inteligencia artificial de Meta que sí llegará a la Unión Europea porque solo es compatible con texto?;Llama 3.; La versión de inteligencia artificial de Meta que sí llegará a la Unión Europea porque solo es compatible con texto se llama Llama 3.;CORRECTO; La versión de inteligencia artificial de Meta que sí llegará a la Unión Europea porque solo es compatible con texto se llama Llama 3.;CORRECTO
¿En cuántos idiomas estará disponible el asistente Meta AI en su versión europea enfocada únicamente en la generación de texto?;En seis idiomas.; No tengo información suficiente en mis archivos.;INCORRECTO; Meta AI estará disponible en seis idiomas en su versión europea enfocada únicamente en la generación de texto.;CORRECTO
¿Cuánto dinero planea invertir la empresa Meta este año para hacer de la inteligencia artificial una prioridad estratégica?;Entre 60.000 y 65.000 millones de dólares.; No tengo información suficiente en mis archivos.;INCORRECTO; Meta Platforms planea invertir 200.000 millones de dólares (179.271 millones de euros) este año para hacer de la inteligencia artificial una prioridad estratégica.;INCORRECTO
¿Qué cuantía económica tiene la multa que la Comisión Europea impuso a Meta en mayo por el uso de algoritmos adictivos?;No tengo información suficiente en mis archivos.; La multa que la Comisión Europea impuso a Meta en mayo por el uso de algoritmos adictivos es de 200 millones de euros.;INCORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
Atendiendo a las características de la versión europea de Meta AI, ¿utilizó la empresa los datos de los internautas europeos para entrenar a su asistente virtual?;No, Meta AI no se entrenó con datos de usuarios europeos.; No, Meta no utilizó los datos de los internautas europeos para entrenar a su asistente virtual.;CORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
En el lugar de aterrizaje del módulo Chandrayaan-3, ¿qué temperatura máxima se alcanzó en una pendiente orientada hacia el Sol con un ángulo de 6 grados?;Alcanzó un máximo de 82 grados.; La temperatura máxima alcanzada en una pendiente orientada hacia el Sol con un ángulo de 6 grados fue de 82 grados.;CORRECTO; La temperatura máxima alcanzada en una pendiente orientada hacia el Sol con un ángulo de 6 grados fue de 82 grados.;CORRECTO
¿Con qué instrumento tecnológico realizó el vehículo Pragyan sus 23 mediciones a lo largo de 103 metros en la superficie lunar?;Utilizando su espectrómetro de rayos X de partículas alfa.; El vehículo Pragyan realizó sus 23 mediciones a lo largo de 103 metros en la superficie lunar utilizando su espectrómetro de rayos X de partículas alfa.;CORRECTO; El vehículo Pragyan realizó sus 23 mediciones a lo largo de 103 metros en la superficie lunar con un sistema que emplea ondas de radio para calibrar exactamente cuánto combustible queda en sus depósitos.;INCORRECTO
¿A qué distancia exacta de su ubicación deseada confirmó la NASA que había aterrizado de manera accidentada la sonda Athena?;A 400 metros de distancia.; La NASA confirmó que la sonda Athena aterrizó a 400 metros de distancia de su ubicación deseada.;CORRECTO; La nave aterrizó a 250 metros de su lugar de aterrizaje previsto en la región de Mons Mouton del polo sur lunar.;INCORRECTO
¿En qué fecha exacta logró Japón el alunizaje exitoso de su nave Smart Lander con su módulo inteligente SLIM?;El 20 de enero de 2024.; La fecha exacta en la que Japón logró el alunizaje exitoso de su nave Smart Lander con su módulo inteligente SLIM fue el 20 de enero de 2023.;INCORRECTO; 2024-01-19 20:56:00.000000;CORRECTO
¿Cuál era el nombre del astronauta que controló de manera remota el aterrizaje de la sonda Athena desde el centro de control en Houston?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; El nombre del astronauta que controló de manera remota el aterrizaje de la sonda Athena desde el centro de control en Houston no está mencionado en el texto proporcionado. El texto habla sobre la misión SpaceX Crew-9 y los astronautas Butch Wilmore, Suni Williams, Nick Hague y Aleksandr Gorbunov, pero no menciona a un astronauta específico que controlara el aterrizaje de la sonda Athena.;CORRECTO
¿Qué cantidad de kilos de roca lunar trajo a la Tierra la misión espacial china Chang'e 3 tras su alunizaje en el año 2013?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
¿En qué fecha exacta entra en funcionamiento el AVE que completa el recorrido entre Madrid, las capitales gallegas y Asturias?;A partir de este próximo martes, 21 de mayo.; El AVE que completa el recorrido entre Madrid, las capitales gallegas y Asturias entra en funcionamiento el 2024-05-21.;CORRECTO; 21 de mayo;CORRECTO
¿Qué cantidad económica en indemnizaciones reclama Renfe a la empresa Talgo debido a los tres años y medio de retraso en la entrega de los trenes S-106?;166 millones de euros.; No tengo información suficiente en mis archivos.;INCORRECTO; Renfe reclama 166,6 millones de euros a Talgo por los tres años y medio de retraso en la entrega de los trenes S-106.;CORRECTO
Gracias a la puesta en marcha de los nuevos convoyes Avril, ¿cuántos minutos de viaje se ahorrarán los pasajeros que realicen el trayecto en alta velocidad entre Oviedo y Madrid?;Se reducirá el tiempo de viaje en 12 minutos.; No tengo información suficiente en mis archivos.;INCORRECTO; Los pasajeros que realicen el trayecto en alta velocidad entre Oviedo y Madrid ahorrarán 10 minutos.;INCORRECTO
¿A qué velocidad máxima exacta circuló el tren con destino a Vigo mientras atravesaba los montes galaicos tras salir de Zamora?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
¿Cuántos trenes totales se incluían en el contrato que Renfe adjudicó a Talgo por 1.281 millones de euros en el año 2016?;30 trenes S106.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
Según las declaraciones del ministro Mario Marcel, ¿cuántas empresas en total presentaron propuestas al Gobierno de Chile para explotar los 26 salares disponibles?;54 empresas.; No tengo información suficiente en mis archivos.;INCORRECTO; 88 empresas presentaron propuestas al Gobierno de Chile para explotar los 26 salares disponibles.;INCORRECTO
¿En qué mes y año comenzará a operar comercialmente la nueva sociedad creada por Codelco y SQM para explotar el litio en el salar de Atacama?;En enero de 2025.; La nueva sociedad comenzará a operar comercialmente en 2025.;INCORRECTO; La nueva sociedad comenzará a operar comercialmente en 2025.;CORRECTO
Para garantizar el control del Estado en la nueva asociación público-privada entre Codelco y SQM, ¿qué participación accionarial mantendrá la empresa estatal?;Tendrá la mayoría de las acciones (el 50% más una).; La empresa estatal Codelco mantendrá una participación superior a 50 por ciento en la asociación público-privada con SQM.;CORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
Durante el partido de clasificación disputado en Tiflis frente a Georgia, ¿qué jugador de la selección española anotó el primer gol de penalti en el minuto 11?;Mikel Oyarzabal.; No tengo información suficiente en mis archivos.;INCORRECTO; Mikel Oyarzabal;CORRECTO
¿Cuál fue el porcentaje exacto de posesión de balón que tuvo la selección española en la segunda parte del partido contra Georgia?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
¿A qué precio exacto vendió la compañía SQM la tonelada de litio a China durante el último trimestre comercial de 2024?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
¿En qué ciudad española tiene su sede la Agencia Española de Supervisión de la Inteligencia Artificial (Aesia)?;En La Coruña.; La Agencia Española de Supervisión de la Inteligencia Artificial (Aesia) tiene su sede en A Coruña.;CORRECTO; La Agencia Española de Supervisión de la Inteligencia Artificial (Aesia) tiene su sede en A Coruña.;CORRECTO
¿Cuántas entradas tiene la clasificación europea de competencias conocida como ESCO?;Más de 13.000 entradas.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
Según la información aportada por la Xunta, ¿cuántos puestos de trabajo calificados como de 'urgente cobertura' hay en Galicia que no se logran cubrir?;Unos 15.000 puestos.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué gran empresa tecnológica estadounidense ha desarrollado la herramienta de inteligencia artificial EMi para la Xunta de Galicia?;No tengo información suficiente en mis archivos.; La gran empresa tecnológica estadounidense que ha desarrollado la herramienta de inteligencia artificial EMi para la Xunta de Galicia es Microsoft.;INCORRECTO; La pregunta no se puede responder con la información proporcionada en el texto.;CORRECTO
¿Qué empresa utiliza en California vehículos sin conductor para entregar suministros médicos?;La empresa Nuro.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué ciudad de Colombia se celebra el VIII Congreso de Editores de Europa y América Latina?;En Cartagena de Indias.; La ciudad de Bogotá es donde se celebra el VIII Congreso de Editores de Europa y América Latina.;INCORRECTO; El VIII Congreso de Editores de Europa y América Latina se celebra en Cartagena de Indias (Colombia).;CORRECTO
¿Qué tratamiento médico específico procedente de cadáveres generó casos de transmisión de alzhéimer entre personas?;Un tratamiento con hormona del crecimiento.; El tratamiento médico específico procedente de cadáveres que generó casos de transmisión de alzhéimer entre personas es un tratamiento con hormona del crecimiento.;CORRECTO; El tratamiento médico específico procedente de cadáveres que generó casos de transmisión de alzhéimer entre personas es un tratamiento con hormona del crecimiento.;CORRECTO
¿Cómo se llama el fármaco oral en fase de estudio que busca prevenir el Alzheimer bloqueando los oligómeros amiloides?;ALZ-801.; El fármaco oral en fase de estudio que busca prevenir el Alzheimer bloqueando los oligómeros amiloides se llama ALZ-801.;CORRECTO; El fármaco oral en fase de estudio que busca prevenir el Alzheimer bloqueando los oligómeros amiloides se llama ALZ-801.;CORRECTO
¿Qué herramienta de inteligencia artificial utiliza Google para acelerar el estudio de proteínas relacionadas con el Alzheimer?;AlphaFold.; No tengo información suficiente en mis archivos.;INCORRECTO; Google utiliza la herramienta de inteligencia artificial AlphaFold para acelerar el estudio de proteínas relacionadas con el Alzheimer.;CORRECTO
¿Quién es el autor colombiano del libro de poesía 'Grietas de la luz' (2024) que honra la memoria de sus abuelas?;Federico Díaz Granados.; Federico Díaz Granados es el autor colombiano del libro de poesía 'Grietas de la luz' (2024) que honra la memoria de sus abuelas.;CORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué año exacto descubrió Google la cura definitiva para el Alzheimer con su IA AlphaFold?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
¿Cuál fue la cifra exacta de recaudación de la tasa turística en la comarca del Maresme durante el año 2024?;4.662.602 euros.; 4,66 millones de euros.;CORRECTO; 4,66 millones de euros.;CORRECTO
Según el informe del Maresme, ¿cuál es el porcentaje de hombres que integran el perfil del turista en la comarca?;El 64,1%.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
Según las previsiones del Ministerio de Industria y Turismo en 2023, ¿cuántos millones de euros de gasto generaron los turistas internacionales en España?;Más de 108.000 millones de euros.; No tengo información suficiente en mis archivos.;INCORRECTO; 108.000 millones de euros;CORRECTO
De acuerdo con los datos de Mesa del Turismo, ¿cuántos turistas mexicanos aproximadamente visitaron España el año pasado?;Más de un millón de mexicanos.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué porcentaje exacto de impuestos aplicará Donald Trump a los turistas españoles que viajen a Nueva York?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
¿Qué porcentaje cayeron las ventas de la marca Tesla en España durante el mes de octubre?;Un 31%.; No tengo información suficiente en mis archivos.;INCORRECTO; Las ventas de la marca Tesla en España cayeron un 31% durante el mes de octubre.;CORRECTO
¿Cuáles son los nombres de los dos gigantes chinos que concentran más del 50% del suministro global de baterías para coches eléctricos?;CATL y BYD.; No tengo información suficiente en mis archivos.;INCORRECTO; CATL y BYD.;CORRECTO
¿Cómo se denomina comercialmente la batería de producción propia que fabrica la empresa automovilística BYD a través de su filial FinDreams Battery?;Blade Battery.; No tengo información suficiente en mis archivos.;INCORRECTO; La batería de producción propia que BYD fabrica a través de su filial FinDreams Battery se denomina 'Blade Battery'.;CORRECTO
Según un nuevo estudio, ¿a qué porcentaje anual ha bajado la tasa de degradación de las baterías de coches eléctricos en los últimos cinco años?;Ha bajado al 1,8% anual.; No tengo información suficiente en mis archivos.;INCORRECTO; La tasa de degradación de las baterías de coches eléctricos ha bajado un 22%, pasando del 2,3% al 1,8% anual en los últimos cinco años.;CORRECTO
¿Cuántas gigafactorías de baterías tiene actualmente operativas la marca BYD en territorio español?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; BYD tiene una gigafábrica operativa en España.;INCORRECTO
¿Cuántas hectáreas de olivar dedica la Cooperativa Olivarera de Los Pedroches (Olipe) al cultivo biodinámico?;300 hectáreas.; La Cooperativa Olivarera de Los Pedroches (Olipe) dedica 300 hectáreas de olivar al cultivo biodinámico.;CORRECTO; La Cooperativa Olivarera de Los Pedroches (Olipe) dedica 300 hectáreas de olivar al cultivo biodinámico.;CORRECTO
De acuerdo con la reforma presupuestaria que se debate en las instituciones comunitarias, ¿qué porcentaje de reducción de fondos podrían sufrir las ayudas de la Política Agraria Común (PAC)?;Una reducción del 20%.; No tengo información suficiente en mis archivos.;INCORRECTO; La PAC podría reduir su presupuesto en un 22%.;INCORRECTO
¿Cuántos puntos recogía el pacto que firmaron los agricultores de la plataforma Gremi de la Pagesia con el departament d’Agricultura de Cataluña?;19 puntos.; No tengo información suficiente en mis archivos.;INCORRECTO; El pacto que firmaron los agricultores de la plataforma Gremi de la Pagesia con el departament d’Agricultura de Cataluña recogía 19 puntos.;CORRECTO
¿Cuántos años llevaba en su cargo el coordinador de Unió de Pagesos, Joan Caball, antes de certificarse su relevo?;25 años.; No hay información en el texto proporcionado sobre el tiempo que Joan Caball, el coordinador de Unió de Pagesos, estuvo en su cargo antes de ser reemplazado.;INCORRECTO; No hay información en el texto proporcionado sobre el tiempo que Joan Caball, el coordinador de Unió de Pagesos, estuvo en su cargo antes de ser reemplazado.;INCORRECTO
¿Quién es el autor del libro 'El juego del dinero' citado en el artículo sobre la riqueza y la clase media?;Gary Stevenson.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué plaga específica de insectos devoradores de cultivos acordaron combatir en el pacto de 19 puntos firmado en Cataluña?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; La plaga específica de insectos que se acordó combatir en el pacto de 19 puntos firmado en Cataluña es la procesionaria del pino.;INCORRECTO
Según el informe de ISACA en 2024, ¿qué porcentaje de profesionales de ciberseguridad afirma que no cuentan con el presupuesto necesario?;El 52%.; No tengo información suficiente en mis archivos.;INCORRECTO; El 51% de los encuestados considera que sus presupuestos en ciberseguridad son insuficientes.;INCORRECTO
¿Qué cantidad económica va a inyectar Google.org a la Universidad de Málaga para su programa de seminarios de ciberseguridad?;Un millón de dólares.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿En qué año fundó el empresario israelí Nir Zuk la firma de ciberseguridad Palo Alto Networks?;En el año 2005.;2005;CORRECTO;2005;CORRECTO
Según el informe del Observatorio de Digitalización de GoDaddy 2023, ¿qué porcentaje de pymes españolas han sido víctimas de algún ciberataque?;El 60% de las empresas españolas.; No tengo información suficiente en mis archivos.;INCORRECTO; El 60% de las pymes españolas han sido víctimas de algún ciberataque.;INCORRECTO
¿Para qué sirve específicamente la solución tecnológica HP Sure Recover mencionada en el informe de protección para pymes?;Para ayudar a restaurar rápidamente la funcionalidad del sitio web en caso de ataques o caídas.; La solución tecnológica HP Sure Recover mencionada en el informe de protección para pymes sirve para restaurar rápidamente la funcionalidad del sitio web en caso de ataques o caídas.;CORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
¿Qué grupo de hackers ruso reivindicó el último ataque a la infraestructura de Red Eléctrica?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
Según el estudio de la Asociación Estadounidense del Corazón, ¿cuántas horas de sueño por noche necesita la mayoría de los adultos?;Entre 7 y 9 horas.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
En el estudio de la Universidad Tecnológica de Sidney sobre la dieta mediterránea, ¿cuántos hombres participaron y de qué rango de edad?;Participaron 71 hombres de edades comprendidas entre 18 y 25 años.; No tengo información suficiente en mis archivos.;INCORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
Según los investigadores, ¿a través de qué vía o nervio específico se comunican las bacterias del tracto intestinal con el cerebro?;A través del nervio vago.; No tengo información suficiente en mis archivos.;INCORRECTO; El nervio vago es el nervio específico a través del cual se comunican las bacterias del tracto intestinal con el cerebro.;CORRECTO
¿Cuántos participantes se incluyeron en el análisis de datos del estudio SOL-INCA-MRI enfocado en la materia blanca cerebral?;Más de 2.774 participantes.;2774;CORRECTO; No tengo información suficiente en mis archivos.;INCORRECTO
De todos los componentes de la dieta mediterránea, ¿qué dos alimentos específicos se asociaban de manera más estrecha con las características deseables de la materia blanca cerebral?;El pescado y los cereales integrales.; No tengo información suficiente en mis archivos.;INCORRECTO; El consumo de pescado y cereales integrales se asociaba de manera estrecha con las características deseables de la materia blanca cerebral.;CORRECTO
¿En qué revista científica se publicó la nueva declaración de la Asociación Estadounidense del Corazón sobre el sueño y el cardiometabolismo?;En la revista 'Circulation: Cardiovascular Quality and Outcomes'.; No tengo información suficiente en mis archivos.;INCORRECTO;" La nueva declaración de la Asociación Estadounidense del Corazón sobre el sueño y el cardiometabólico se publicó en la revista científica ""Circulation: Cardiovascular Quality and Outcomes"".";CORRECTO
¿En qué hospital español se descubrió que la dieta mediterránea cura clínicamente la depresión profunda en dos semanas?;No tengo información suficiente en mis archivos.; No tengo información suficiente en mis archivos.;CORRECTO; No tengo información suficiente en mis archivos.;CORRECTO
